jargon,meaning
Drill down,Investigate further (see Deep Dive)
Circle back,Return to an earlier conversation
Boil the ocean,Do the impossible
You can't put the toothpaste back in the tube,Once something is said you can't take it back.
Deep dive,Investigate further (see Drill Down)
Granular,All about the details
Thinking outside the box,Think about things in a new way
Synergy,The way different componants work together
Hyperlocal,Issues affecting a small area or group
Move the needle,Make a big change
Unpack,Analyse something in detail
Circle back,Revisiting an earlier topic
Touch base,Lets have a meeting
On your radar,Just making you aware..
Freemium,The basic product is free but prepare to pay up if you want anything usable
